"","Reporting Organsation Reference","Reporting Organisation Narrative","org_name","Organisation Type","tracker_commit","tracker_spend","YYYYMM year and month","Transaction Type Code","x_original_transaction_value_USDm_Sum","Transaction Type","IATI Organisation Name","Tracker Commit","Tracker Spend","Organisation Name","usability","usability_score","year_month"
"68","FI-3","Ministry for Foreign Affairs of Finland","Finland - Ministry for Foreign Affairs","Bilateral","Yes","Yes","202105",2,"32.1029781597","Commitments","Finland - Ministry for Foreign Affairs","Yes","Yes","Finland - Ministry for Foreign Affairs","Yes","Yes","05-2021"
"69","FI-3","Ministry for Foreign Affairs of Finland","Finland - Ministry for Foreign Affairs","Bilateral","Yes","Yes","202106",2,"133.0584253317","Commitments","Finland - Ministry for Foreign Affairs","Yes","Yes","Finland - Ministry for Foreign Affairs","Yes","Yes","06-2021"
"70","FI-3","Ministry for Foreign Affairs of Finland","Finland - Ministry for Foreign Affairs","Bilateral","Yes","Yes","202107",2,"11.6910103194","Commitments","Finland - Ministry for Foreign Affairs","Yes","Yes","Finland - Ministry for Foreign Affairs","Yes","Yes","07-2021"
"71","FI-3","Ministry for Foreign Affairs of Finland","Finland - Ministry for Foreign Affairs","Bilateral","Yes","Yes","202108",2,"8.303742","Commitments","Finland - Ministry for Foreign Affairs","Yes","Yes","Finland - Ministry for Foreign Affairs","Yes","Yes","08-2021"
"72","FI-3","Ministry for Foreign Affairs of Finland","Finland - Ministry for Foreign Affairs","Bilateral","Yes","Yes","202109",2,"49.9835683521","Commitments","Finland - Ministry for Foreign Affairs","Yes","Yes","Finland - Ministry for Foreign Affairs","Yes","Yes","09-2021"
"73","FI-3","Ministry for Foreign Affairs of Finland","Finland - Ministry for Foreign Affairs","Bilateral","Yes","Yes","202110",2,"40.2895502874","Commitments","Finland - Ministry for Foreign Affairs","Yes","Yes","Finland - Ministry for Foreign Affairs","Yes","Yes","10-2021"
"74","FI-3","Ministry for Foreign Affairs of Finland","Finland - Ministry for Foreign Affairs","Bilateral","Yes","Yes","202111",2,"0.6438375369","Commitments","Finland - Ministry for Foreign Affairs","Yes","Yes","Finland - Ministry for Foreign Affairs","Yes","Yes","11-2021"
"75","FI-3","Ministry for Foreign Affairs of Finland","Finland - Ministry for Foreign Affairs","Bilateral","Yes","Yes","202112",2,"178.250139486","Commitments","Finland - Ministry for Foreign Affairs","Yes","Yes","Finland - Ministry for Foreign Affairs","Yes","Yes","12-2021"
"76","FR-3","AFD","France - Agence Francaise de Developpement","Bilateral","No","No","202110",2,"11.313","Commitments","Agence Fran̤aise de D̩veloppement","No","No","France - Agence Francaise de Developpement","No","No","10-2021"
"77","FR-3","AFD","France - Agence Francaise de Developpement","Bilateral","No","No","202111",2,"639.484452486046","Commitments","Agence Fran̤aise de D̩veloppement","No","No","France - Agence Francaise de Developpement","No","No","11-2021"
"78","FR-6","MAEDI","France - Ministry for Europe and Foreign Affairs","Bilateral","No","No","202101",2,"3.3071900134","Commitments","France - Ministry for Europe and Foreign Affairs","No","No","France - Ministry for Europe and Foreign Affairs","No","No","01-2021"
"79","FR-6","MAEDI","France - Ministry for Europe and Foreign Affairs","Bilateral","No","No","202102",2,"0.8789312","Commitments","France - Ministry for Europe and Foreign Affairs","No","No","France - Ministry for Europe and Foreign Affairs","No","No","02-2021"
"80","FR-6","MAEDI","France - Ministry for Europe and Foreign Affairs","Bilateral","No","No","202103",2,"5.0242824254","Commitments","France - Ministry for Europe and Foreign Affairs","No","No","France - Ministry for Europe and Foreign Affairs","No","No","03-2021"
"81","FR-6","MAEDI","France - Ministry for Europe and Foreign Affairs","Bilateral","No","No","202104",2,"1.5820534702","Commitments","France - Ministry for Europe and Foreign Affairs","No","No","France - Ministry for Europe and Foreign Affairs","No","No","04-2021"
"82","FR-6","MAEDI","France - Ministry for Europe and Foreign Affairs","Bilateral","No","No","202105",2,"6.1753610576","Commitments","France - Ministry for Europe and Foreign Affairs","No","No","France - Ministry for Europe and Foreign Affairs","No","No","05-2021"
"83","FR-6","MAEDI","France - Ministry for Europe and Foreign Affairs","Bilateral","No","No","202106",2,"0.0090830852","Commitments","France - Ministry for Europe and Foreign Affairs","No","No","France - Ministry for Europe and Foreign Affairs","No","No","06-2021"
"84","FR-6","MAEDI","France - Ministry for Europe and Foreign Affairs","Bilateral","No","No","202108",2,"0.0495330276","Commitments","France - Ministry for Europe and Foreign Affairs","No","No","France - Ministry for Europe and Foreign Affairs","No","No","08-2021"
"85","FR-6","MAEDI","France - Ministry for Europe and Foreign Affairs","Bilateral","No","No","202110",2,"0.005971","Commitments","France - Ministry for Europe and Foreign Affairs","No","No","France - Ministry for Europe and Foreign Affairs","No","No","10-2021"
"86","FR-6","MAEDI","France - Ministry for Europe and Foreign Affairs","Bilateral","No","No","202111",2,"0.1230026","Commitments","France - Ministry for Europe and Foreign Affairs","No","No","France - Ministry for Europe and Foreign Affairs","No","No","11-2021"
"87","GB-CHC-209131","BRITISH COUNCIL","UK - British Council","Bilateral","Yes","Yes","202101",2,"0.210328167903","Commitments","British Council","Yes","Yes","UK - British Council","Yes","Yes","01-2021"
"88","GB-CHC-209131","BRITISH COUNCIL","UK - British Council","Bilateral","Yes","Yes","202102",2,"0.1817996361","Commitments","British Council","Yes","Yes","UK - British Council","Yes","Yes","02-2021"
"89","GB-CHC-209131","BRITISH COUNCIL","UK - British Council","Bilateral","Yes","Yes","202103",2,"1.120645512774","Commitments","British Council","Yes","Yes","UK - British Council","Yes","Yes","03-2021"
"90","GB-CHC-209131","BRITISH COUNCIL","UK - British Council","Bilateral","Yes","Yes","202105",2,"0.3427308192","Commitments","British Council","Yes","Yes","UK - British Council","Yes","Yes","05-2021"
"91","GB-CHC-209131","BRITISH COUNCIL","UK - British Council","Bilateral","Yes","Yes","202106",2,"0.2883288938","Commitments","British Council","Yes","Yes","UK - British Council","Yes","Yes","06-2021"
"92","GB-CHC-209131","BRITISH COUNCIL","UK - British Council","Bilateral","Yes","Yes","202107",2,"0.2459441838","Commitments","British Council","Yes","Yes","UK - British Council","Yes","Yes","07-2021"
"93","GB-CHC-209131","BRITISH COUNCIL","UK - British Council","Bilateral","Yes","Yes","202108",2,"1.373047985713","Commitments","British Council","Yes","Yes","UK - British Council","Yes","Yes","08-2021"
"94","GB-CHC-209131","BRITISH COUNCIL","UK - British Council","Bilateral","Yes","Yes","202109",2,"1.128829255841","Commitments","British Council","Yes","Yes","UK - British Council","Yes","Yes","09-2021"
"95","GB-CHC-209131","BRITISH COUNCIL","UK - British Council","Bilateral","Yes","Yes","202110",2,"6.529506051607","Commitments","British Council","Yes","Yes","UK - British Council","Yes","Yes","10-2021"
"96","GB-CHC-209131","BRITISH COUNCIL","UK - British Council","Bilateral","Yes","Yes","202112",2,"0.2988150352","Commitments","British Council","Yes","Yes","UK - British Council","Yes","Yes","12-2021"
