"","country","org_type","flow_type","transaction_type","year","quarter","month","aggregate_type","oda_oof_other","variable","value","timeframe","rollingyear"
"855","EC","EC",NA,"Commitments",2021,1,3,"Specific donor","ODA","Volume",-67.309305298371,"Monthly",NA
"856","EC","EC",NA,"Commitments",2021,2,4,"Specific donor","ODA","Volume",190.079746081119,"Monthly",NA
"857","EC","EC",NA,"Commitments",2021,2,5,"Specific donor","ODA","Volume",394.001459303976,"Monthly",NA
"858","EC","EC",NA,"Commitments",2021,2,6,"Specific donor","ODA","Volume",375.942156666345,"Monthly",NA
"859","EC","EC",NA,"Commitments",2021,3,7,"Specific donor","ODA","Volume",390.457059319962,"Monthly",NA
"860","EC","EC",NA,"Commitments",2021,3,8,"Specific donor","ODA","Volume",276.603472848528,"Monthly",NA
"861","EC","EC",NA,"Commitments",2021,3,9,"Specific donor","ODA","Volume",216.280245659193,"Monthly",NA
"898","EC","EC",NA,"Commitments",2020,4,10,"Specific donor","OOF","Volume",0,"Monthly",NA
"899","EC","EC",NA,"Commitments",2020,4,11,"Specific donor","OOF","Volume",0,"Monthly",NA
"900","EC","EC",NA,"Commitments",2020,4,12,"Specific donor","OOF","Volume",0,"Monthly",NA
"901","EC","EC",NA,"Commitments",2021,1,1,"Specific donor","OOF","Volume",0,"Monthly",NA
"902","EC","EC",NA,"Commitments",2021,1,2,"Specific donor","OOF","Volume",0,"Monthly",NA
"903","EC","EC",NA,"Commitments",2021,1,3,"Specific donor","OOF","Volume",0,"Monthly",NA
"904","EC","EC",NA,"Commitments",2021,2,4,"Specific donor","OOF","Volume",0,"Monthly",NA
"905","EC","EC",NA,"Commitments",2021,2,5,"Specific donor","OOF","Volume",0,"Monthly",NA
"906","EC","EC",NA,"Commitments",2021,2,6,"Specific donor","OOF","Volume",0,"Monthly",NA
"907","EC","EC",NA,"Commitments",2021,3,7,"Specific donor","OOF","Volume",0,"Monthly",NA
"908","EC","EC",NA,"Commitments",2021,3,8,"Specific donor","OOF","Volume",0,"Monthly",NA
"909","EC","EC",NA,"Commitments",2021,3,9,"Specific donor","OOF","Volume",0,"Monthly",NA
"946","EC","EC",NA,"Commitments",2020,4,10,"Specific donor","Other flows","Volume",0,"Monthly",NA
"947","EC","EC",NA,"Commitments",2020,4,11,"Specific donor","Other flows","Volume",-0.497448765045,"Monthly",NA
"948","EC","EC",NA,"Commitments",2020,4,12,"Specific donor","Other flows","Volume",-3.357298113795,"Monthly",NA
"949","EC","EC",NA,"Commitments",2021,1,1,"Specific donor","Other flows","Volume",0,"Monthly",NA
"950","EC","EC",NA,"Commitments",2021,1,2,"Specific donor","Other flows","Volume",-2.401094843361,"Monthly",NA
"951","EC","EC",NA,"Commitments",2021,1,3,"Specific donor","Other flows","Volume",-0.189921840777,"Monthly",NA
"952","EC","EC",NA,"Commitments",2021,2,4,"Specific donor","Other flows","Volume",0,"Monthly",NA
"953","EC","EC",NA,"Commitments",2021,2,5,"Specific donor","Other flows","Volume",0.001215830736,"Monthly",NA
"954","EC","EC",NA,"Commitments",2021,2,6,"Specific donor","Other flows","Volume",0,"Monthly",NA
"955","EC","EC",NA,"Commitments",2021,3,7,"Specific donor","Other flows","Volume",4.5252,"Monthly",NA
"956","EC","EC",NA,"Commitments",2021,3,8,"Specific donor","Other flows","Volume",0,"Monthly",NA
"957","EC","EC",NA,"Commitments",2021,3,9,"Specific donor","Other flows","Volume",8.663462309475,"Monthly",NA
"994","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development",NA,"Commitments",2020,4,10,"Specific donor","All flows","Volume",552.52225345419,"Monthly",NA
"995","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development",NA,"Commitments",2020,4,11,"Specific donor","All flows","Volume",553.132917270315,"Monthly",NA
"996","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development",NA,"Commitments",2020,4,12,"Specific donor","All flows","Volume",1274.15124399096,"Monthly",NA
